Gene,Alias,Fold Change,Direction,Total FPKM,Q-Value,Description
AT3G25470,,1.46,DOWN,30.05,0.3882,putative hemolysin
AT3G25480,,1.21,DOWN,23.12,1,rhodanese-like domain-containing protein
AT3G25530,GHBDH,1.29,UP,38.04,0.5776,glyoxylate reductase 1
AT3G25585,ATAAPT2,2.28,UP,10.99,0.4120,aminoalcoholphosphotransferase
AT3G25600,,5.50,DOWN,9.08,0.1734,putative calcium-binding protein CML16
AT3G25660,,1.10,UP,27.03,1,Amidase family protein
AT3G25690,CHUP1,9.44,UP,18.60,0.0009,protein CHUP1
AT3G25700,,1.01,UP,6.19,1,aspartyl protease family protein
AT3G25717,RTFL16,1.55,DOWN,39.52,0.6169,protein rotundifolia like 16
AT3G25760,AOC1,4.33,DOWN,7.29,0.1380,allene oxide cyclase 1
AT3G25770,AOC2,1.10,UP,25.53,1,allene oxide cyclase 2
AT3G25800,PDF1,2.30,UP,12.68,0.1059,protein phosphatase 2A subunit A2
AT3G25805,,1.69,UP,9.33,0.5618,uncharacterized protein
AT3G25840,,3.46,UP,7.86,0.0069,serine/threonine-protein kinase PRP4
AT3G25890,,5.92,DOWN,3.09,0.5618,ethylene-responsive transcription factor ERF119
AT3G25910,,2.59,UP,8.48,0.1920,uncharacterized protein
AT3G25930,,1.00,UP,13.35,1,universal stress protein (USP) family protein
AT3G26060,ATPRX Q,1.75,DOWN,130.93,0.0009,peroxiredoxin Q
AT3G26070,,1.57,UP,30.42,0.2078,putative plastid-lipid-associated protein 4
AT3G26085,,2.56,UP,8.24,0.3221,CAAX amino terminal protease family protein
AT3G26100,,2.93,UP,8.87,0.0515,regulator of chromosome condensation repeat-containing protein
AT3G26360,,1.64,DOWN,18.22,0.7035,Ribosomal protein S21 family protein
AT3G26400,EIF4B1,2.08,UP,13.50,0.0926,eukaryotic translation initiation factor 4B1
AT3G26420,ATRZ-1A,2.99,DOWN,20.26,0.0357,RNA recognition motif and CCHC-type zinc finger domain-containing protein
AT3G26430,,6123.73,UP,5.03,0.5623,GDSL esterase/lipase
AT3G26450,,1.72,UP,61.72,0.0612,SRPBCC ligand-binding domain-containing protein
AT3G26510,,1.39,UP,39.30,0.4331,octicosapeptide/Phox/Bem1p domain-containing protein
AT3G26520,TIP1,1.89,DOWN,406.40,0.0009,aquaporin TIP1-2
AT3G26570,PHT2,1.10,DOWN,47.94,0.8320,inorganic phosphate transporter 2-1
AT3G26580,,2.17,UP,74.14,0.0009,uncharacterized protein
AT3G26650,GAPA,1.62,DOWN,607.67,0.0009,glyceraldehyde-3-phosphate dehydrogenase A
AT3G26670,,1.21,DOWN,6.44,1,uncharacterized protein
AT3G26710,CCB1,1.09,UP,33.66,1,cofactor assembly of complex C
AT3G26720,,2.88,UP,6.42,0.0397,alpha-mannosidase
AT3G26730,,3.07,UP,8.50,0.1037,RING/U-box domain-containing protein
AT3G26740,CCL,1.31,DOWN,380.41,0.0164,CCR-like protein
AT3G26744,ATICE1,1.39,DOWN,18.14,0.3370,transcription factor ICE1
AT3G26780,,1.03,UP,7.05,1,putative fructose-2;6-bisphosphatase
AT3G26810,AFB2,1.15,DOWN,15.82,0.9173,protein auxin SIGNALING F-BOX 2
AT3G26900,ATSKL1,1.22,DOWN,39.22,0.7035,shikimate kinase like 1
AT3G26935,,1.91,DOWN,12.13,0.1385,putative S-acyltransferase
AT3G27020,YSL6,1.05,UP,10.98,1,putative metal-nicotianamine transporter YSL6
AT3G27027,,4.27,UP,47.75,0.5909,uncharacterized protein
AT3G27030,,1.70,DOWN,14.11,0.9923,uncharacterized protein
AT3G27050,,1.35,UP,34.87,0.7049,uncharacterized protein
AT3G27060,TSO2,1.14,UP,25.02,1,Ribonucleoside-diphosphate reductase small chain C
AT3G27090,,1.39,UP,37.63,0.2763,DCD (Development and Cell Death) domain protein
AT3G27100,,3.81,DOWN,8.59,0.2235,enhancer of yellow 2 transcription factor
AT3G27110,,8.51,UP,5.89,0.5548,Peptidase family M48 family protein
AT3G27160,GHS1,1.51,DOWN,186.71,0.0091,ribosomal protein S21 family protein
AT3G27190,UKL2,3.67,DOWN,6.34,0.1189,putative uracil phosphoribosyltransferase
AT3G27230,,1.90,DOWN,9.75,0.3741,S-adenosyl-L-methionine-dependent methyltransferase-like protein
AT3G27240,,1.09,DOWN,23.83,1,ubiquinol-cytochrome c reductase cytochrome c1 subunit
AT3G27280,ATPHB4,1.24,DOWN,9.53,0.9740,prohibitin 4
AT3G27300,G6PD5,1.10,DOWN,12.63,1,glucose-6-phosphate dehydrogenase 5
AT3G27310,PUX1,1.45,UP,11.04,0.8311,plant UBX domain-containing protein 1
AT3G27320,,1.46,DOWN,5.17,0.7459,hydrolase
AT3G27340,,1.33,DOWN,17.53,0.9078,uncharacterized protein
AT3G27360,,1.37,UP,9.25,1,histone H3
AT3G27380,SDH2-1,1.24,UP,9.55,0.8109,succinate dehydrogenase
AT3G27430,PBB1,1.14,DOWN,34.94,0.8739,proteasome subunit beta type-7-A
AT3G27570,,1.90,UP,8.50,0.3080,Sucrase/ferredoxin-like protein
AT3G27690,LHCB2.4,1.39,DOWN,168.62,0.0407,photosystem II light harvesting complex protein 2.3
AT3G27740,CARA,1.02,DOWN,12.98,1,carbamoyl phosphate synthetase A
AT3G27770,,1.17,DOWN,34.40,0.9031,uncharacterized protein
AT3G27820,ATMDAR4,1.27,UP,18.54,0.6149,monodehydroascorbate reductase (NADH)
AT3G27865,,1.57,UP,11910.39,0.4447,snoRNA
AT3G27890,NQR,5.04,DOWN,15.32,0.3915,NADPH:quinone oxidoreductase
AT3G27925,DEGP1,1.43,UP,32.89,0.2065,protease Do-like 1
AT3G28040,,1.17,DOWN,9.03,0.8969,probably inactive leucine-rich repeat receptor-like protein kinase
AT3G28050,,1.01,UP,16.56,1,EamA domain-containing protein
AT3G28070,,2.83,UP,9.32,0.2023,nodulin MtN21 /EamA-like transporter family protein
AT3G28080,,10.39,UP,5.24,0.5617,nodulin MtN21 /EamA-like transporter family protein
AT3G28140,,1.60,UP,7.66,0.7993,RNA ligase/cyclic nucleotide phosphodiesterase family protein
AT3G28180,ATCSLC04,1.96,UP,10.36,0.1413,xyloglucan glycosyltransferase 4
AT3G28220,,9.62,UP,6.57,0.3367,TRAF-like family protein
AT3G28550,,1.46,DOWN,51.87,0.0009,Proline-rich extensin-like family protein
AT3G28710,,1.32,DOWN,19.52,0.5610,V-type proton ATPase subunit d1
AT3G28715,,1.02,DOWN,16.29,1,V-type proton ATPase subunit d2
AT3G28720,,1.03,UP,10.74,1,uncharacterized protein
AT3G28730,NFD,1.46,UP,8.03,0.6989,FACT complex subunit SSRP1
AT3G28740,CYP81D1,1.56,DOWN,10.58,0.6330,cytochrome P450 CYP81D11
AT3G28860,ATPGP19,1.09,UP,17.14,0.9824,ABC transporter B family member 19
AT3G28900,,1.05,DOWN,37.09,1,60S ribosomal protein L34-3
AT3G28910,ATMYB30,2.87,DOWN,6.79,0.2932,myb proto-oncogene protein
AT3G28920,AtHB34,2.28,DOWN,18.97,0.0584,homeobox protein 34
AT3G28930,AIG2,1.99,UP,10.90,0.6126,protein AIG2
AT3G28940,,1.06,UP,144.56,1,AIG2-like protein
AT3G29160,ATKIN11,1.13,UP,6.85,1,SNF1-related protein kinase catalytic subunit alpha KIN11
AT3G29185,,3.77,UP,19.68,0.0217,uncharacterized protein
AT3G29200,CM1,1.53,DOWN,13.97,0.5239,chorismate mutase 1
AT3G29240,,1.54,DOWN,133.68,0.0038,uncharacterized protein
AT3G29250,,2.17,DOWN,19.44,0.1450,Rossmann-fold NAD(P)-binding domain-containing protein
AT3G29270,,1.30,DOWN,7.19,0.9073,RING/U-box domain-containing protein
AT3G29320,,6.50,UP,11.72,0.0038,glycosyl transferase; family 35 protein
AT3G29350,AHP2,1.34,UP,18.99,1,histidine-containing phosphotransfer protein 2
AT3G29360,,1.17,DOWN,27.74,0.6883,putative UDP-glucose 6-dehydrogenase 1
AT3G29390,RIK,6.03,UP,5.73,0.1404,protein RIK
AT3G29575,AFP3,2.33,DOWN,13.17,0.2151,Ninja-family protein AFP3
AT3G30300,,1.97,UP,8.58,0.2217,O-fucosyltransferase family protein
AT3G30390,,1.70,DOWN,77.62,0.0009,Transmembrane amino acid transporter family protein
AT3G30720,QQS,1.32,UP,10.98,1,qua-quine starch
AT3G30775,ATPOX,1.99,DOWN,17.27,0.0614,proline dehydrogenase 1
AT3G32930,,1.11,UP,30.48,1,uncharacterized protein
AT3G32990,,2.36,UP,14.51,0.0289,pseudogene
AT3G33520,ARP6,1.62,UP,6.56,0.5964,actin-related protein 6
AT3G41761,,1.79,DOWN,305.37,0.8991,other RNA
AT3G41762,,1.52,UP,35.23,0.6323,uncharacterized protein
AT3G41768,,1.60,UP,12730.48,0.0009,rRNA
AT3G42050,,1.16,DOWN,41.25,0.6716,V-type proton ATPase subunit H
AT3G42150,,1.74,DOWN,7.04,0.7453,uncharacterized protein
AT3G42790,AL3,1.75,UP,8.73,0.5387,protein alfin-like 3
AT3G43110,,8.50,DOWN,26.77,0.1466,uncharacterized protein
AT3G43230,,1.58,DOWN,8.96,0.5219,RING/FYVE/PHD zinc finger-containing protein
AT3G43300,BEN1,1.79,UP,6.22,0.0724,guanine nucleotide-exchange factor
AT3G43430,,1.99,DOWN,19.96,0.4751,RING/U-box domain-containing protein
AT3G43520,,1.29,UP,44.58,0.5280,transmembrane protein 14C
AT3G43540,,2.80,UP,10.48,0.1355,uncharacterized protein
AT3G43670,,1.16,DOWN,8.72,1,putative copper amine oxidase
AT3G43720,,2.85,DOWN,76.74,0.0038,bifunctional inhibitor/lipid-transfer protein/seed storage 2S albumin-like protein
AT3G43800,ATGSTU27,1.04,UP,22.93,1,glutathione S-transferase
AT3G43810,CAM7,1.62,DOWN,48.21,0.1632,calmodulin 7
AT3G43863,,10.21,UP,16.56,0.3367,transposable element gene
AT3G43980,,2.13,DOWN,121.54,0.0889,40S ribosomal protein S29
AT3G44010,,3.41,DOWN,453.80,0.0009,40S ribosomal protein S29
AT3G44020,,3.95,DOWN,25.76,0.1159,thylakoid lumenal P17.1 protein
AT3G44100,,2.39,DOWN,43.58,0.1065,MD-2-related lipid recognition domain-containing protein
AT3G44110,ATJ3,1.08,UP,66.08,0.9361,chaperone protein dnaJ 3
AT3G44150,,1.37,DOWN,12.34,0.8791,uncharacterized protein
AT3G44190,,1.21,UP,9.24,1,FAD/NAD(P)-binding oxidoreductase family protein
AT3G44260,,1.12,UP,11.03,1,putative CCR4-associated factor 1-9
AT3G44300,AtNIT2,1.55,UP,8.89,0.6139,nitrilase 2
AT3G44310,ATNIT1,1.11,DOWN,223.38,0.4784,nitrilase 1
AT3G44330,,1.15,DOWN,9.66,1,uncharacterized protein
AT3G44340,CEF,1.73,UP,6.36,0.1805,transport protein sec24-like CEF
AT3G44430,,1.28,DOWN,16.01,0.7254,uncharacterized protein
AT3G44450,,4.04,UP,15.58,0.4523,uncharacterized protein
AT3G44590,,1.31,DOWN,19.90,0.8489,60S acidic ribosomal protein P2-4
AT3G44620,,1.57,DOWN,16.79,0.4839,protein-tyrosine phosphatase
AT3G44720,ADT4,1.78,DOWN,7.45,0.4192,arogenate dehydratase 4
AT3G44735,ATPSK3,1.48,DOWN,36.60,0.7011,phytosulfokine-beta
AT3G44750,ATHD2A,2.03,UP,7.25,0.3645,histone deacetylase HDT1
AT3G44990,XTR8,1.63,UP,22.35,0.2249,xyloglucan:xyloglucosyl transferase
AT3G45030,,1.91,DOWN,65.17,0.0490,40S ribosomal protein S20-1
AT3G45050,,1.70,DOWN,14.89,0.5308,uncharacterized protein
AT3G45140,LOX2,3.12,UP,25.69,0.0009,lipoxygenase 2
AT3G45160,,1.48,UP,28.95,0.7587,Putative membrane lipoprotein
AT3G45190,,1.19,UP,11.04,0.8424,SIT4 phosphatase-associated family protein
AT3G45310,,1.95,DOWN,14.71,0.1380,thiol protease aleurain-like protein
AT3G45600,TET3,3.96,DOWN,39.34,0.0096,tetraspanin3
AT3G45620,,2.38,UP,5.09,0.2928,transducin/WD40 domain-containing protein
AT3G45640,ATMPK3,1.12,UP,18.87,1,extracellular signal-regulated kinase 1/2
AT3G45730,,1.09,DOWN,12.43,1,uncharacterized protein
AT3G45770,,2.17,UP,14.69,0.0997,putative trans-2-enoyl-CoA reductase
AT3G45780,NPH1,1.86,UP,20.87,0.0057,non-specific serine/threonine protein kinase
AT3G45930,,3.10,DOWN,22.17,0.3500,histone H4
AT3G45980,H2B,2.24,DOWN,27.90,0.2488,histone H2B
AT3G46000,ADF2,1.17,DOWN,57.14,0.8146,actin depolymerizing factor 2
AT3G46010,ADF1,1.10,DOWN,88.55,0.9687,actin depolymerizing factor 1
AT3G46030,HTB11,3.07,DOWN,67.69,0.0096,histone H2B
AT3G46060,RAB8A,1.19,DOWN,32.09,0.7582,Ras-related protein ARA-3
AT3G46100,ATHRS1,1.60,UP,11.83,0.3719,Histidyl-tRNA synthetase 1
AT3G46130,ATMYB48-3,11.91,UP,9.07,0.2880,transcription factor MYB48
AT3G46430,,1.99,DOWN,86.58,0.0543,uncharacterized protein
AT3G46440,UXS5,2.07,UP,13.41,0.1721,UDP-XYL synthase 5
AT3G46460,UBC13,2.28,DOWN,9.77,0.5620,ubiquitin-conjugating enzyme E2 13
AT3G46510,PUB13,1.12,DOWN,12.40,1,U-box domain-containing protein 13
AT3G46540,,1.42,UP,10.36,0.8109,ENTH/VHS family protein
AT3G46550,SOS5,1.17,DOWN,8.94,1,fasciclin-like arabinogalactan protein 4
AT3G46560,TIM9,1.43,DOWN,122.42,0.2673,mitochondrial import inner membrane translocase subunit Tim9
AT3G46590,TRFL1,2.88,UP,5.76,0.1165,telomere repeat-binding protein 2
AT3G46620,,3.12,DOWN,10.64,0.1235,C3H4 type zinc finger protein
AT3G46630,,1.32,DOWN,10.89,0.9785,uncharacterized protein
AT3G46640,LUX,1.04,DOWN,14.47,1,protein phytoclock 1
AT3G46740,TOC75-III,1.03,DOWN,18.26,1,protein TOC75-3
AT3G46780,PTAC16,4.70,DOWN,23.06,0.4434,protein plastid transcriptionally active 16
AT3G46940,DUT1,3.15,DOWN,31.35,0.1255,dUTP pyrophosphatase
AT3G46970,ATPHS2,2.46,UP,22.62,0.0009,alpha-glucan phosphorylase isozyme H
AT3G47070,,1.73,DOWN,336.09,0.0009,uncharacterized protein
AT3G47160,,3.33,DOWN,9.76,0.2166,RING/U-box domain-containing protein
AT3G47250,,1.12,UP,14.05,1,uncharacterized protein
AT3G47290,ATPLC8,1.04,UP,7.95,1,phosphoinositide phospholipase C8
AT3G47295,,3.88,DOWN,66.63,0.1713,Tyrosine-sulfated glycopeptide 2
AT3G47348,,1.60,DOWN,3202.84,0.7808,snoRNA
AT3G47370,,1.16,UP,33.11,1,40S ribosomal protein S20-2
AT3G47420,ATPS3,2.38,DOWN,28.26,0.0025,phosphate starvation-induced protein
AT3G47430,PEX11B,1.34,DOWN,22.63,0.7557,peroxisomal membrane protein 11B
AT3G47450,NOA1,2.81,UP,3.73,0.2190,Nitric oxide synthase 1
AT3G47470,LHCA4,1.38,DOWN,1257.44,0.0009,chlorophyll a-b binding protein 4
AT3G47490,,1.73,DOWN,7.78,0.6257,HNH endonuclease
AT3G47500,cdf3,2.06,UP,7.62,0.2529,Dof zinc finger protein DOF3.3
AT3G47520,MDH,1.29,DOWN,19.71,0.5720,malate dehydrogenase
AT3G47560,,1.97,DOWN,6.17,0.6218,esterase/lipase/thioesterase family protein
AT3G47620,TCP14,1.77,DOWN,23.73,0.0309,transcription factor TCP14
AT3G47650,,4.39,DOWN,136.97,0.0009,DnaJ/Hsp40 cysteine-rich domain-containing protein
AT3G47670,,1.84,DOWN,18.97,0.3399,plant invertase/pectin methylesterase inhibitor domain-containing protein
AT3G47810,MAG1,1.75,UP,16.25,0.3665,vacuolar protein sorting 29 protein
AT3G47833,,3.05,DOWN,29.68,0.1063,uncharacterized protein
AT3G47836,,1.85,DOWN,123.29,0.1365,uncharacterized protein
AT3G47850,,1.65,UP,6.18,0.6204,uncharacterized protein
AT3G47860,CHL,1.19,UP,18.66,0.8803,chloroplastic lipocalin
AT3G47960,,1.29,UP,9.87,0.7654,putative peptide/nitrate transporter
AT3G47965,,17.41,DOWN,20.92,0.5603,uncharacterized protein
AT3G48000,ALDH2B4,1.17,UP,36.78,0.5886,aldehyde dehydrogenase 2B4
AT3G48070,,1.21,UP,6.18,1,RING/U-box domain-containing protein
AT3G48115,,1.68,DOWN,20.43,0.5378,other RNA
AT3G48120,,9.31,UP,6.05,0.4497,uncharacterized protein
AT3G48140,,2.01,DOWN,209.06,0.0009,B12D protein
AT3G48170,ALDH10A9,2.62,UP,13.28,0.0773,betaine aldehyde dehydrogenase 2
AT3G48185,,2.77,DOWN,10.58,0.6270,uncharacterized protein
AT3G48340,,1.21,DOWN,10.42,1,putative cysteine proteinase
AT3G48360,BT2,1.84,UP,37.76,0.0116,BTB and TAZ domain protein 2
AT3G48380,,2.50,UP,5.65,0.1972,putative Ufm1-specific protease
AT3G48420,,2.44,UP,22.95,0.0410,haloacid dehalogenase-like hydrolase domain-containing protein
AT3G48460,,1.32,UP,6.04,1,GDSL esterase/lipase
AT3G48530,KING1,1.86,UP,10.71,0.3143,SNF1-related protein kinase regulatory subunit gamma 1
AT3G48550,,1.69,DOWN,8.38,0.7857,uncharacterized protein
AT3G48560,CSR1,1.90,DOWN,167.89,0.0009,acetolactate synthase
AT3G48570,,2.39,DOWN,17.28,0.6527,protein transport protein sec61 subunit gamma-3
AT3G48590,HAP5A,1.01,UP,15.55,1,nuclear transcription factor Y subunit C-1
AT3G48610,NPC6,1.86,UP,9.43,0.3585,non-specific phospholipase C6
AT3G48690,CXE12,1.83,UP,37.94,0.0531,alpha/beta-hydrolase domain-containing protein
AT3G48720,,1.58,DOWN,13.00,0.3822,HXXXD-type acyl-transferase-like protein
AT3G48730,GSA2,1.37,UP,27.20,0.2627,glutamate-1-semialdehyde 2;1-aminomutase 2
AT3G48740,SWEET11,1.75,DOWN,59.59,0.0151,Nodulin MtN3-like protein
AT3G48750,CDKA1,1.12,UP,16.55,1,cyclin-dependent kinase A-1
AT3G48760,,1.01,DOWN,8.30,1,putative S-acyltransferase
AT3G48870,HSP93-III,2.06,UP,21.82,0.0009,Clp ATPase
AT3G48880,,1.59,DOWN,7.21,0.7292,F-box/LRR-repeat protein
AT3G48890,ATMP2,1.27,DOWN,21.48,0.7841,membrane steroid-binding protein 2
AT3G48990,,1.30,DOWN,61.45,0.0584,AMP-dependent synthetase and ligase-like protein
AT3G49080,,1.84,UP,16.12,0.0950,small subunit ribosomal protein S9
AT3G49110,ATPCA,1.91,UP,18.76,0.1643,peroxidase 33
AT3G49120,ATPCB,1.20,DOWN,34.04,0.7292,peroxidase 34
AT3G49140,,4.84,UP,11.66,0.0509,pentatricopeptide repeat-containing protein
AT3G49220,,1.19,DOWN,23.90,0.6906,pectinesterase
AT3G49260,iqd21,1.44,UP,9.04,0.5620,protein IQ-domain 21
AT3G49390,CID10,1.78,DOWN,8.80,0.3778,CTC-interacting domain 10 protein
AT3G49430,At-SR34a,1.90,UP,15.40,0.2205,putative Pre-mRNA splicing factor SF2
AT3G49470,NACA2,1.89,UP,22.91,0.2108,nascent polypeptide-associated complex subunit alpha-like protein 2
AT3G49490,,2.90,UP,6.67,0.0955,uncharacterized protein
AT3G49560,,2.27,UP,24.11,0.0638,Mitochondrial import inner membrane translocase subunit Tim17/Tim22/Tim23 family protein
AT3G49580,LSU1,1.76,UP,40.66,0.3909,response to low sulfur 1 protein
AT3G49601,,4.12,UP,11.34,0.0274,uncharacterized protein
AT3G49670,BAM2,1.33,DOWN,12.62,0.4638,receptor-like kinase BAM2
AT3G49680,BCAT3,1.15,DOWN,17.71,0.9263,branched-chain-amino-acid aminotransferase 3
AT3G49720,,1.57,DOWN,23.36,0.2461,uncharacterized protein
AT3G49780,PSK4,3.28,DOWN,21.76,0.5167,phytosulfokine-beta
AT3G49800,,2.06,UP,8.34,0.2398,BSD domain-containing protein
AT3G49870,ATARLA1C,1.95,DOWN,42.06,0.0561,ADP-ribosylation factor-like A1C
AT3G49910,,1.22,DOWN,304.67,0.1619,60S ribosomal protein L26-1
AT3G49940,LBD38,2.55,DOWN,32.72,0.0385,LOB domain-containing protein 38
AT3G50000,CKA2,1.04,UP,15.38,1,casein kinase II; alpha chain 2
AT3G50080,VFB2,3.13,DOWN,7.07,0.2030,F-box/LRR-repeat protein 16
AT3G50270,,2.15,DOWN,13.32,0.1760,HXXXD-type acyl-transferase-like protein
AT3G50350,,7.13,DOWN,8.35,0.5605,uncharacterized protein
AT3G50360,CEN2,1.99,UP,9.75,0.7074,putative calcium-binding protein CML20
AT3G50370,,3.10,UP,4.94,0.0009,uncharacterized protein
AT3G50440,ATMES10,1.25,UP,12.97,0.9246,methyl esterase 10
AT3G50480,HR4,8.02,UP,6.74,0.3298,RPW8-like protein 4
AT3G50500,SNRK2.2,1.28,UP,25.75,0.6028,serine/threonine-protein kinase SRK2D
AT3G50520,,1.29,UP,10.08,1,phosphoglycerate mutase
AT3G50530,CRK,1.10,UP,8.05,1,CDPK-related kinase
AT3G50550,,2.23,UP,45.05,0.1871,uncharacterized protein
AT3G50630,KRP2,2.84,UP,19.45,0.1370,cyclin-dependent kinase inhibitor 2
AT3G50670,U1-70K,2.15,UP,14.03,0.0917,U1 small nuclear ribonucleoprotein-70K
AT3G50685,,2.21,DOWN,75.73,0.0091,uncharacterized protein
AT3G50690,,1.51,UP,37.80,0.1371,acidic leucine-rich nuclear phosphoprotein 32-related protein
AT3G50740,UGT72E1,4.27,DOWN,47.21,0.0009,coniferyl-alcohol glucosyltransferase
AT3G50820,PSBO2,1.26,DOWN,278.15,0.0136,oxygen-evolving enhancer protein 1-2
AT3G50825,,9.02,DOWN,5394.71,0.5620,snoRNA
AT3G50830,COR413-PM2,1.45,DOWN,24.05,0.4839,cold-regulated 413-plasma membrane 2
AT3G50860,,4.44,UP,5.47,0.2875,AP-3 complex subunit sigma
AT3G50950,ZAR1,5.68,UP,8.24,0.0160,disease resistance RPP13-like protein 4
AT3G50970,LTI30,1.71,UP,8.67,0.7452,dehydrin Xero 2
AT3G51010,,1.25,DOWN,18.36,0.9996,uncharacterized protein
AT3G51030,ATTRX1,2.11,DOWN,11.27,0.6471,thioredoxin H1
AT3G51160,MUR1,2.18,DOWN,17.55,0.0828,GDP-mannose 4;6 dehydratase 2
AT3G51250,,1.44,UP,6.18,0.7622,Senescence/dehydration-associated protein-like protein
AT3G51260,PAD1,1.05,DOWN,46.36,1,proteasome subunit alpha type-7-A
AT3G51330,,1.49,UP,8.04,0.5851,aspartyl protease family protein
AT3G51370,,1.41,UP,25.56,0.2918,putative protein phosphatase 2C 46
AT3G51420,SSL4,1.38,DOWN,24.18,0.3325,strictosidine synthase-like 4 protein
AT3G51430,SSL5,1.30,UP,7.26,0.9301,strictosidine synthase
AT3G51500,,2.01,DOWN,11.74,0.5332,uncharacterized protein
AT3G51510,,1.26,DOWN,57.97,0.6237,uncharacterized protein
AT3G51520,,1.13,UP,9.14,1,diacylglycerol O-acyltransferase 2
AT3G51550,FER,1.53,DOWN,21.91,0.0534,receptor-like protein kinase FERONIA
AT3G51600,LTP5,1.85,DOWN,620.94,0.0009,non-specific lipid-transfer protein 5
AT3G51610,,1.27,DOWN,13.61,0.9726,uncharacterized protein
AT3G51670,,2.30,DOWN,8.03,0.2027,patellin-6
AT3G51780,BAG4,1.67,UP,8.42,0.5890,BCL-2-associated athanogene 4
AT3G51800,ATEBP1,1.71,UP,20.22,0.1426,metallopeptidase M24 domain-containing protein
AT3G51820,ATG4,1.28,DOWN,29.00,0.3892,chlorophyll synthase
AT3G51840,ATSCX,1.11,DOWN,18.97,1,acyl-coenzyme A oxidase 4
AT3G51850,CPK13,1.22,UP,11.89,0.7975,calcium-dependent protein kinase 13
AT3G51880,NFD1,2.63,UP,18.05,0.1210,high mobility group protein B1
AT3G51920,CML9,1.11,DOWN,25.45,1,calmodulin-like protein 9
AT3G51950,,3.96,UP,8.88,0.0194,zinc finger CCCH domain-containing protein 46
AT3G52040,,1.17,UP,29.59,1,uncharacterized protein
AT3G52060,,1.14,UP,54.93,0.7066,Core-2/I-branching beta-1;6-N-acetylglucosaminyltransferase family protein
AT3G52070,,2.40,DOWN,11.34,0.5044,uncharacterized protein
AT3G52090,NRPD11,1.31,UP,34.88,0.7207,DNA-directed RNA polymerase II subunit RPB11
AT3G52105,,11.61,DOWN,15.17,0.3981,uncharacterized protein
AT3G52140,,3.15,UP,7.12,0.0057,tetratricopeptide repeat (TPR)-containing protein
AT3G52150,,1.26,DOWN,90.26,0.3619,RNA recognition motif-containing protein
AT3G52155,,1.65,UP,19.68,0.5845,Phosphoglycerate mutase family protein
AT3G52180,SEX4,2.39,UP,7.89,0.2193,dual specificity protein phosphatase (DsPTP1) family protein
AT3G52190,PHF1,1.45,DOWN,9.07,0.6200,SEC12-like protein 1
AT3G52200,LTA3,1.27,UP,8.44,0.7506,dihydrolipoyllysine-residue acetyltransferase component 1 of pyruvate dehydrogenase complex
AT3G52220,,3.70,UP,15.37,0.1404,uncharacterized protein
AT3G52230,,2.80,DOWN,89.43,0.0009,uncharacterized protein
AT3G52300,ATPQ,1.19,DOWN,98.75,0.5966,ATP synthase subunit d
AT3G52340,ATSPP2,1.47,UP,10.20,0.5776,putative sucrose-phosphatase 3b
AT3G52360,,2.35,DOWN,34.03,0.1573,uncharacterized protein
AT3G52370,FLA15,1.37,DOWN,7.74,0.7402,fasciclin-like arabinogalactan protein 15
AT3G52380,CP33,1.06,UP,47.44,1,chloroplast RNA-binding protein 33
AT3G52420,OEP7,3.48,UP,30.71,0.4251,outer envelope membrane protein 7
AT3G52470,,1.17,UP,26.87,0.9300,late embryogenesis abundant hydroxyproline-rich glycoprotein
AT3G52500,,1.28,DOWN,41.81,0.3508,aspartyl protease family protein
AT3G52520,,3.03,UP,17.54,0.3915,uncharacterized protein
AT3G52535,,2.25,DOWN,34.07,0.5851,other RNA
AT3G52560,UEV1D-4,3.10,DOWN,79.14,0.0009,ubiquitin-conjugating enzyme E2 variant 1D
AT3G52580,,1.21,DOWN,24.78,0.8785,40S ribosomal protein S14-3
AT3G52610,,1.55,DOWN,7.40,0.5545,uncharacterized protein
AT3G52630,,2.88,DOWN,11.11,0.3560,Nucleic acid-binding; OB-fold-like protein
AT3G52720,ACA1,1.66,UP,35.28,0.1726,carbonic anhydrase
AT3G52730,,2.07,DOWN,128.75,0.0191,ubiquinol-cytochrome c reductase subunit 9
AT3G52750,FTSZ2-2,2.98,UP,9.14,0.1604,Tubulin/FtsZ family protein
AT3G52800,,2.18,DOWN,41.54,0.0337,zinc finger A20 and AN1 domain-containing stress-associated protein 6
AT3G52840,BGAL2,1.61,UP,8.63,0.3160,beta-galactosidase 2
AT3G52850,ATELP1,2.13,UP,13.18,0.0222,vacuolar-sorting receptor 1
AT3G52860,,1.19,DOWN,8.50,1,uncharacterized protein
AT3G52870,,2.90,UP,10.17,0.1318,IQ calmodulin-binding motif family protein
AT3G52880,ATMDAR1,1.00,DOWN,72.22,1,monodehydroascorbate reductase (NADH)
AT3G52900,,9.15,UP,12.24,0.4751,uncharacterized protein
AT3G52920,,1.66,UP,17.39,0.4003,uncharacterized protein
AT3G52930,,1.86,DOWN,128.87,0.0009,fructose-bisphosphate aldolase; class I
AT3G52940,ELL1,1.62,DOWN,4.88,0.7465,delta(14)-sterol reductase
AT3G52960,,1.43,DOWN,92.22,0.1096,peroxiredoxin-2E
AT3G52990,,1.25,DOWN,28.29,0.5231,pyruvate kinase
AT3G53110,LOS4,1.08,UP,16.64,1,DEAD-box ATP-dependent RNA helicase 38
